id,question,expected,actual,ok,elapsed_s
F1,今日の東京の天気を教えて,FAST,FAST,True,12.04
F2,消費税10%のとき、1980円の商品の税込価格は?,FAST,FAST,True,2.75
F3,おすすめのラーメン屋のジャンルを3つ挙げて,FAST,FAST,True,2.75
F4,Pythonのlen()関数って何をするものだっけ?,FAST,FAST,True,2.7
F5,最近疲れてるんだけど、なんか一言励まして,FAST,FAST,True,2.71
D1,3ヶ月後の資格試験に向けて、平日2時間・休日4時間の学習計画を立てて,DEEP,DEEP,True,2.88
D2,来月の家族旅行のスケジュールを、移動時間と子どもの体力を考慮して組んで,DEEP,DEEP,True,2.87
D3,今の投資ポートフォリオの偏りを踏まえて、リバランス方針を考えて,DEEP,DEEP,True,2.86
D4,新しい業務プロセスの提案資料の構成を、経営層向けに練り直して,DEEP,DEEP,True,2.81
D5,副業と本業の両立が難しくなってきた。優先順位の付け方を一緒に整理して,DEEP,DEEP,True,2.9
C1,このPythonの関数、TypeErrorが出るんだけどデバッグして,CODE,CODE,True,0.0
C2,FastAPIでファイルアップロードを受け付けるエンドポイントを実装して,CODE,CODE,True,0.0
C3,以下のコードをレビューして、リファクタリングの提案をして,CODE,CODE,True,0.0
C4,この正規表現、意図通りにマッチしない原因を教えて,CODE,CODE,True,0.0
C5,SQLiteのテーブル定義をSQLAlchemyのモデルに書き換えて,CODE,CODE,True,2.7
X1,あれ、どうすればいい?,CLARIFY,FAST,False,2.74
X2,ちょっと相談があるんだけど,CLARIFY,FAST,False,2.76
X3,これ,CLARIFY,FAST,False,2.65
X4,このコードのアルゴリズムを勉強計画に組み込みたい,CLARIFY,DEEP,False,2.8
X5,バグ修正しつつ開発スケジュールも整理して,CODE,CODE,True,0.0
